date,ID,rep,conductance,temperature,amb_hum,amb_temp,ECSt_mAU,gH+,leaf_angle,leaf_temp_diff,LEF,PAR,NPQt,Phi2,PhiNO,PhiNPQ,PS1_active ,PS1_open,PS1_over,PS1_oxidized,rel_chlorophyll,thickness,vH+,leaf_area,leaf_mass
10/11/19,RH1_SOR_2,A,188.1,11.3,28.186,11.88,0.00191,57.419,26.931,3.55,146.155248,1765.16,9.915,0.184,0.075,0.741,7.285,0.441,0.252,0.307,70.89,2.24,0.11,15622.235,1168.6
10/11/19,RH1_SOR_2,B,243.2,12.5,29.08,12.04,0.00183,63.024,29.306,8.25,159.7335795,1792.745,7.807,0.198,0.091,0.711,3.558,0.432,-0.549,1.117,66.13,2.14,0.115,15439.31,911.1
10/11/19,RH1_SOR_2,C,272.3,13,28.309,12.22,0.00162,64.335,20.861,4.15,156.9006423,1570.577,8.133,0.222,0.085,0.693,8.154,0.13,0.265,0.605,69.06,2.05,0.104,24915.348,1638
10/11/19,RH1_SOR_3,A,141.7,10.8,29.149,10.58,0.00209,35.903,20.217,0.27,89.7770052,859.933,2.94,0.232,0.195,0.573,3.768,0.483,-0.426,0.943,68.14,1.62,0.075,15090.932,856.6
10/11/19,RH1_SOR_3,B,180.8,11.6,29.604,10.72,0.00142,40.024,29.652,-0.15,63.405432,741.584,6.279,0.19,0.111,0.699,5.656,0.397,0.223,0.38,65.41,1.51,0.057,20845.485,1040.8
10/11/19,RH1_SOR_3,C,268.4,11.9,29.278,10.84,-3.81745,-0.004,20.938,1.15,87.12563715,908.979,7.035,0.213,0.098,0.689,5.311,0.472,0.102,0.426,31.46,1.24,0.015,24379.605,1219
01/31/20,RH2_WHE_1,A,58.6,13.1,37.298,12.79,0.00043,77.98,5.451,0.58,119.5870401,1315.589,0.717,0.202,0.465,0.333,6.447,0.164,0.742,0.094,32.31,1.07,0.034,910.975,61.5
01/31/20,RH2_WHE_1,B,45.5,13.1,35.567,13.55,0.00088,144.016,53.632,-2.7,108.306666,925.698,0.574,0.26,0.47,0.27,4.052,0.164,0.585,0.251,66.35,0.65,0.127,930.832,59.9
01/31/20,RH2_WHE_1,C,24.7,13.4,35.617,14.02,0.00077,46.675,3.89,-0.97,79.7060349,913.013,0.977,0.194,0.408,0.398,3.103,0.231,0.158,0.611,37.87,0.39,0.036,1277.521,82.7
01/31/20,RH2_WHE_2,A,63.5,13.6,31.485,14.37,0.00013,125.525,14.355,-1.64,68.896557,368.924,0.84,0.415,0.318,0.267,2.218,0.208,0.55,0.242,14.85,0.46,0.016,1027.754,66.1
01/31/20,RH2_WHE_2,B,40.4,13.7,33.016,14.4,0.00026,92.939,3.977,-2.21,135.806625,1117.75,1.265,0.27,0.322,0.408,2.379,0.115,0.249,0.637,14.61,0.73,0.024,1032.966,65.4
01/31/20,RH2_WHE_2,C,47.2,13.5,33.786,14.32,0.00014,297.074,63.039,-1.49,88.32957525,788.305,0.787,0.249,0.42,0.331,2.376,0.469,0.265,0.266,24.54,0.66,0.042,1098.654,65.9
01/31/20,RH2_WHE_3,A,50.2,14.6,41.754,10.33,-0.00126,3.738,55.697,1.66,151.971984,1107.264,1.177,0.305,0.319,0.376,5.278,0.229,0.47,0.301,24.46,0.43,-0.005,867.58,55.4
01/31/20,RH2_WHE_3,B,66,13.2,39.834,11.01,0.00093,45.729,54.339,1.3,119.926854,873.784,1.525,0.305,0.275,0.42,4.107,0.23,0.514,0.256,44.18,0.75,0.043,1407.733,93.4
01/31/20,RH2_WHE_3,C,66,12.2,41.629,11.35,0.00022,106.048,22.501,-0.22,124.7540364,842.648,2.556,0.329,0.189,0.482,3.542,0.206,0.5,0.293,21.69,0.53,0.023,1093.357,94.6
10/18/19,SL1_SOR_1,A,143.8,37,45.68,22.39,0.00016,1433.416,62.324,-0.96,20.381742,66.607,0.57,0.68,0.204,0.116,1.253,-1.055,-1.855,3.909,70.27,1.92,0.229,15433.363,1066.4
10/18/19,SL1_SOR_1,B,172.5,36.3,45.335,22.95,0.00039,133.395,51.011,-0.08,46.6426926,179.326,1.052,0.578,0.206,0.216,4.623,0.398,0.592,0.009,69.55,0.23,0.052,24078.699,1854.3
10/18/19,SL1_SOR_1,C,225.9,35.5,44.762,23.17,0.00015,3180.086,43.578,-1.84,33.3929925,141.346,1.763,0.525,0.172,0.303,0,null,null,null,44.28,0.25,0.477,17339.547,1131.6
10/18/19,SL1_SOR_2,A,429.6,43.5,40.787,25.51,0.00029,179.589,62.854,-1.42,38.7675072,172.992,2.084,0.498,0.163,0.339,2.594,0.535,0.367,0.099,52.94,0.2,0.052,15081.709,1055.1
10/18/19,SL1_SOR_2,B,292,42.7,40.399,25.68,0.00023,213.622,34.052,-1.83,47.532951,170.369,0.802,0.62,0.211,0.169,1.45,0.367,0.61,0.023,50.87,0.19,0.049,21049.011,1233.8
10/18/19,SL1_SOR_2,C,487.6,42,39.719,25.82,0.00025,254.77,55.363,-2.47,30.4000506,111.478,1.245,0.606,0.176,0.219,2.989,0.175,0.575,0.25,57.72,0.32,0.064,15841.519,940.7
10/18/19,SL1_SOR_3,A,542.8,47.9,39.513,26.62,0.00028,229.322,34.527,-0.57,45.27816975,166.311,0.862,0.605,0.212,0.183,3.253,0.32,0.532,0.148,59.01,0.26,0.064,15483.866,882.3
10/18/19,SL1_SOR_3,B,275.9,46.4,37.845,26.99,0.00109,61.833,15.831,-3.14,45.49647465,173.419,1.161,0.583,0.193,0.224,2.579,0.316,0.362,0.322,56.48,1.81,0.067,27751.955,2172.6
10/18/19,SL1_SOR_3,C,710.8,45.2,37.35,27.29,0.00029,154.961,67.238,-2.24,26.302041,95.818,0.931,0.61,0.202,0.188,2.212,0.598,0.255,0.147,50.91,0.2,0.045,13881.928,757.7
09/11/19,SL4_SOR_1,A,232.7,26.1,63.145,24.51,0.00019,174.566,10.442,-1.88,55.5428205,191.362,0.866,0.645,0.19,0.165,1.848,-0.196,1.29,-0.094,52.03,1.73,0.033,28973.522,1933.6
09/11/19,SL4_SOR_1,B,546.5,26.9,62.971,24.5,0.00022,118.283,3.536,-1.69,54.0917496,186.652,0.984,0.644,0.179,0.176,7.318,-0.032,0.728,0.304,61.2,2.28,0.026,33547.91,2114
09/11/19,SL4_SOR_1,C,255.9,27.6,63.451,24.4,0.00014,224.348,14.349,-3.35,54.4530654,191.164,0.939,0.633,0.189,0.178,2.207,0.14,0.745,0.116,54.22,2.22,0.031,30499.37,2195.3
09/11/19,SL4_SOR_2,A,402.1,29.3,62.766,24.68,0.00025,113.427,40.096,-1.91,41.464467,139.611,0.96,0.66,0.173,0.166,2.502,0.251,0.46,0.289,65.6,2.05,0.028,34687.35,2292.5
09/11/19,SL4_SOR_2,B,324.2,30.9,62.821,24.59,0.00033,78.984,49.638,-1.54,52.761222,198.724,1.16,0.59,0.19,0.22,2.182,0.134,0.415,0.45,51.87,2.01,0.026,12863.599,795.4
09/11/19,SL4_SOR_2,C,322.3,31.8,62.782,24.72,0.00017,203.709,33.054,-0.83,36.4048695,122.205,0.874,0.662,0.18,0.158,1.3,0.711,0.299,-0.01,67.59,1.88,0.035,40582.155,2694.3
09/11/19,SL4_SOR_3,A,403.1,32.3,62.302,24.9,0.00013,46.64,90.632,-2.09,22.16949345,74.307,0.842,0.663,0.183,0.154,1.609,1.267,-0.034,-0.233,66.64,1.78,0.006,30460.034,2022.9
09/11/19,SL4_SOR_3,B,566.3,32.8,62.215,25.02,0.00039,96.446,18.677,-0.99,59.6905038,225.972,1.289,0.587,0.18,0.232,2.54,0.08,0.508,0.412,66.07,2.08,0.038,31444.709,1964.5
09/11/19,SL4_SOR_3,C,559.6,33.4,61.976,25.04,0.0004,117.368,57.184,-1.05,46.3774626,173.796,1.32,0.593,0.176,0.232,4.528,0.362,0.663,-0.026,69.36,1.68,0.047,40127.977,2823.1
09/11/19,TG1_SOR_1,A,235.3,23.7,69.478,22.55,0.00025,2.088,27.499,-0.64,33.8773509,114.586,0.177,0.657,0.292,0.052,3.095,0.369,0.697,-0.066,60.88,1.8,0.001,10999.854,948.8
09/11/19,TG1_SOR_1,B,293.2,23.3,67.734,23.07,0.0001,509.475,11.94,-1.86,36.469674,118.312,0.112,0.685,0.283,0.032,2.227,0.278,1.014,-0.292,51.19,2.02,0.051,6124.138,550.6
09/11/19,TG1_SOR_1,C,202.8,23.2,66.519,23.45,0.00012,223.497,27.683,-1.46,29.6103951,95.502,0.133,0.689,0.275,0.037,1.448,1.121,0.311,-0.432,48.12,2.02,0.027,9268.983,747.1
09/11/19,TG1_SOR_2,A,425.8,22.9,65.125,23.89,0.00011,129.221,16.561,-1.98,37.14606675,122.655,0.148,0.673,0.285,0.042,3.272,0.178,0.798,0.024,50.98,2.11,0.014,6010.267,512.2
09/11/19,TG1_SOR_2,B,197.6,23.7,64.413,24.29,0.00013,218.429,13.085,-1.66,37.3430628,125.544,0.147,0.661,0.296,0.044,2.471,0.13,0.689,0.18,54.91,2.07,0.028,10007.541,831.4
09/11/19,TG1_SOR_2,C,177.2,23.9,63.826,24.44,0.12629,0.029,14.139,-1.43,41.8775283,139.522,0.133,0.667,0.294,0.039,2.253,0.498,0.577,-0.075,56.02,1.99,0.004,9264.399,807.9
09/11/19,TG1_SOR_3,A,258.3,26.1,63.418,24.41,0.00018,-0.001,17.698,-2.6,51.74767395,173.971,0.197,0.661,0.283,0.056,2.694,0.794,0.927,-0.722,52.18,2.17,0,8256.057,711.3
09/11/19,TG1_SOR_3,B,231.2,26.3,63.309,24.45,0.00013,422.707,18.156,-2.5,56.6720595,191.395,0.184,0.658,0.289,0.053,2.467,0.546,0.562,-0.108,51.55,2.03,0.055,6985.181,682.2
